timestamp,value,dream_x,dream_z
0.0,0.114772,0.099065,0.000000
0.001,0.721847,0.098285,0.000001
0.002,0.150764,0.097656,0.000003
0.003,0.115145,0.097180,0.000005
0.004,0.116117,0.096852,0.000008
0.005,-0.914361,0.096669,0.000013
0.006,-0.994902,0.096632,0.000018
0.007,-0.997891,0.096737,0.000023
0.008,-0.998260,0.096984,0.000030
0.009,-0.996178,0.097368,0.000037
0.01,-0.997975,0.097892,0.000045
0.011,-0.997910,0.098554,0.000054
0.012,-0.996725,0.099354,0.000064
0.013,-0.998174,0.100292,0.000075
0.014,-0.997138,0.101369,0.000087
0.015,-0.997306,0.102584,0.000100
0.016,-0.998262,0.103937,0.000114
0.017,-0.997287,0.105427,0.000129
0.018,-0.997058,0.107057,0.000145
0.019,-0.998024,0.108825,0.000162
0.02,-0.996055,0.110736,0.000181
0.021,-0.995269,0.112791,0.000200
0.022,-0.996679,0.114985,0.000222
0.023,-0.994781,0.117328,0.000245
0.024,-0.993287,0.119819,0.000269
0.025,-0.996201,0.122460,0.000295
0.026,-0.996799,0.125251,0.000323
0.027,-0.996371,0.128199,0.000353
0.028,-0.997866,0.131302,0.000385
0.029,-0.999171,0.134566,0.000419
0.03,-0.999126,0.137991,0.000456
0.031,-0.998538,0.141584,0.000495
0.032,-0.998425,0.145349,0.000536
0.033,-0.998124,0.149288,0.000581
0.034,-0.993624,0.153403,0.000628
0.035,-0.986003,0.157700,0.000679
0.036,-0.991729,0.162186,0.000733
0.037,-0.994349,0.166861,0.000792
0.038,-0.990137,0.171734,0.000853
0.039,-0.991451,0.176809,0.000920
0.04,-0.996783,0.182089,0.000990
0.041,-0.998243,0.187583,0.001066
0.042,-0.998144,0.193293,0.001147
0.043,-0.996753,0.199228,0.001233
0.044,-0.996008,0.205395,0.001325
0.045,-0.996571,0.211796,0.001424
0.046,-0.996961,0.218444,0.001529
0.047,-0.993200,0.225344,0.001642
0.048,-0.990453,0.232505,0.001763
0.049,-0.992578,0.239933,0.001891
0.05,-0.992294,0.247636,0.002029
0.051,-0.991221,0.255622,0.002176
0.052,-0.985827,0.263902,0.002333
0.053,-0.977032,0.272487,0.002501
0.054,-0.977307,0.281379,0.002681
0.055,-0.987092,0.290595,0.002873
0.056,-0.990316,0.300144,0.003079
0.057,-0.992031,0.310035,0.003298
0.058,-0.990259,0.320282,0.003533
0.059,-0.987775,0.330896,0.003784
0.06,-0.990550,0.341886,0.004053
0.061,-0.994910,0.353271,0.004340
0.062,-0.995621,0.365057,0.004648
0.063,-0.996930,0.377260,0.004976
0.064,-0.996437,0.389890,0.005327
0.065,-0.994038,0.402967,0.005703
0.066,-0.992177,0.416504,0.006105
0.067,-0.991422,0.430517,0.006535
0.068,-0.989982,0.445021,0.006995
0.069,-0.991320,0.460034,0.007487
0.07,-0.993602,0.475572,0.008013
0.071,-0.993973,0.491653,0.008575
0.072,-0.995707,0.508297,0.009177
0.073,-0.996453,0.525522,0.009821
0.074,-0.996635,0.543347,0.010510
0.075,-0.997684,0.561808,0.011247
0.076,-0.996824,0.581207,0.012036
0.077,-0.991824,0.600803,0.012879
0.078,-0.984336,0.622413,0.013784
0.079,-0.977719,0.643680,0.014751
0.08,-0.987455,0.665511,0.015786
0.081,-0.995777,0.691080,0.016899
0.082,-0.997319,0.717334,0.018094
0.083,-0.998435,0.743445,0.019377
0.084,-0.998021,0.769729,0.020751
0.085,-0.997471,0.797801,0.022225
0.086,-0.996990,0.828431,0.023811
0.087,-0.995980,0.859770,0.025514
0.088,-0.995255,0.892486,0.027346
0.089,-0.995053,0.915396,0.029290
0.09,-0.993119,0.951106,0.031381
0.091,-0.994476,0.986929,0.033628
0.092,-0.994144,1.014969,0.036020
0.093,-0.993720,1.049823,0.038580
0.094,-0.995072,1.076239,0.041295
0.095,-0.993082,1.104119,0.044176
0.096,-0.993809,1.139236,0.047250
0.097,-0.993930,1.186074,0.050562
0.098,-0.989480,1.236874,0.054138
0.099,-0.986938,1.257443,0.057896
0.1,-0.987715,1.306755,0.061936
0.101,-0.990471,1.347796,0.066246
0.102,-0.997129,1.392684,0.070853
0.103,-0.998509,1.453384,0.075830
0.104,-0.998689,1.507364,0.081171
0.105,-0.996807,1.579112,0.086968
0.106,-0.980127,1.612330,0.093089
0.107,-0.973904,1.672145,0.099660
