file,match_count,top_term_1,top_term_2,top_term_3,top_term_4,top_term_5
/Users/ghostlink/ghostlink-wiki-organized/WRAITHGATE_index.txt,13300,the,to,and,"null,",-
/Users/ghostlink/Organized/Docs/Downloads/GHOSTLINK_WIKI_COMPLETE.md,93,GhostLink,for,of,**GhostLink,through
/Users/ghostlink/Organized/Docs/Downloads/GHOSTLINK_COMPLETE_ARTIFACT.md,91,GhostLink,of,for,**GhostLink,through
/Users/ghostlink/Organized/Misc/organize_manifest_dryrun_home.csv/organize_manifest_dryrun_home.csv,54,/Users/ghostlink/Library/Mobile,Documents/com~apple~CloudDocs/Desktop/Desktop,-,MacBook,Ghost's
/Users/ghostlink/Organized/Docs/Downloads/glossary.md,28,GhostLink,of,for,to,and
/Users/ghostlink/ghostlink-wiki-organized/implementation/core/ghostlink_model.py,26,GhostLink,for,model,AI,=
/Users/ghostlink/ghostlink-wiki-organized/ghostlink_comprehension_agent.py,19,GhostLink,=,Documentation,comprehension,Comprehension
/Users/ghostlink/Organized/Misc/organize_manifest_dryrun_volumes.csv/organize_manifest_dryrun_volumes.csv,18,/Volumes/ghost/ghostlinklabs/docs/GhostLink,Full,Stack,Knowledge,Mesh
/Users/ghostlink/ghostlink-wiki-organized/design_clarity_os.py,17,GhostLink,Root,Protocol,Design,Clarity
/Users/ghostlink/ghostlink-wiki-organized/database/system_metadata.json,16,through,Research,GhostLink,"""The","""GhostLinkLabs"
/Users/ghostlink/ghostlink-wiki-organized/implementation/core/ai_providers.py,15,GhostLink,consciousness,-,into,"consciousness"""""""
/Users/ghostlink/Organized/Docs/Downloads/project-summary.md,13,GhostLink:,variance,-,**GhostLink,AI
/Users/ghostlink/ghostlink-wiki-organized/implementation/core/api_integration.py,12,GhostLink,-,"""description"":",Absorbed,into
/Users/ghostlink/Organized/Projects/ghostlink_integrated.py/ghostlink_integrated.py,11,GhostLink,=,prompt,response,for
/Users/ghostlink/Organized/Docs/Downloads/mathematical-foundations.md,10,GhostLink,**GhostLink,the,application:**,mathematical
/Users/ghostlink/ghostlink-wiki-organized/implementation/ui/node_modules/qs/README.md,9,the,`charsetSentinel`,charsetSentinel:,when,true
/Users/ghostlink/Organized/Docs/GHOSTLINK_PROTOCOL_INTEGRATION.md/GHOSTLINK_PROTOCOL_INTEGRATION.md,9,GhostLink,Protocol,v8.0,│,#
/Users/ghostlink/ghostlink-wiki-organized/GHOSTLINK_FULL_COMPREHENSION.md,8,GhostLink,Agent,Comprehension,of,the
/Users/ghostlink/ghostlink-wiki-organized/triad_synergy.py,8,GhostLink,Triad,Synergy,#,=
/Users/ghostlink/ghostlink-wiki-organized/README.md,8,GhostLink,Triad,**GhostLink,-,#
/Users/ghostlink/ghostlink-wiki-organized/implementation/core/ghostlink_specification.py,8,GhostLinkLabs,Specification,the,specification,for
/Users/ghostlink/ghostlink-wiki-organized/implementation/utils/error_handling.py,8,class,for,"GhostLink""""""","""""""Error",Handling
/Users/ghostlink/Organized/Projects/ghostlink_backend.py/ghostlink_backend.py,8,Backend,=,GhostLink,Zero-Dependency,#
/Users/ghostlink/Organized/Docs/GHOSTLINK_ECOSYSTEM.md/GHOSTLINK_ECOSYSTEM.md,8,GhostLink,Ecosystem,is,│,-d
/Users/ghostlink/Organized/Docs/README_GHOSTLINK_ZERO_DEP.md/README_GHOSTLINK_ZERO_DEP.md,8,and,GhostLink,the,backend,Zero-Dependency
/Users/ghostlink/ghostlink-wiki-organized/ghostlink_mental_model.md,7,legacy,-,of,/,GhostLink
/Users/ghostlink/ghostlink-wiki-organized/ghostlink_mental_model.json,7,and,"""(legacy)",for,to,"""name"":"
/Users/ghostlink/ghostlink-wiki-organized/documentation/LINK.md,7,GhostLink,your,all,is,AI
/Users/ghostlink/ghostlink-wiki-organized/core-runtime/ghostlink_main.py,7,GhostLink,system,the,complete,Unified
/Users/ghostlink/ghostlink-wiki-organized/implementation/link.py,7,GhostLink,Link,coordinates,all,components
/Users/ghostlink/Organized/Projects/ghostlink_ide.py/ghostlink_ide.py,7,IDE,-,"self.title(f""GhostLink","{os.path.basename(fname)}"")",GhostLink
/Users/ghostlink/Organized/Projects/ghostlink_supervisor.py/ghostlink_supervisor.py,7,GhostLink,supervisor,parser,=,"argparse.ArgumentParser(description=""GhostLink"
/Users/ghostlink/ghostlink-wiki-organized/TRIAD_SYNERGY_COMPLETE.md,6,Triad,The,GhostLink,-,system
/Users/ghostlink/ghostlink-wiki-organized/scripts/setup_hybrid_triad.py,6,Hybrid,Triad,GhostLink,=,"Setup"")"
/Users/ghostlink/Organized/Docs/PROTOCOL_IMPLEMENTATION_SUMMARY.md/PROTOCOL_IMPLEMENTATION_SUMMARY.md,6,GhostLink,Protocol,v8.0,│,#
/Users/ghostlink/Organized/Docs/Downloads/NASA_Robbie_George_Resume_UPDATED.txt,6,GhostLink,and,AI,with,of
/Users/ghostlink/Organized/Docs/Downloads/NASA_Robbie_George_FINAL_2PAGE.txt,6,GhostLink,AI,and,with,of
/Users/ghostlink/Organized/Docs/Downloads/NASA_Robbie_George_FINAL_.txt,6,GhostLink,AI,and,with,of
/Users/ghostlink/Organized/Docs/Downloads/NASA_Robbie_George_Resume_2PAGE.txt,6,GhostLink,AI,and,in,years
/Users/ghostlink/Organized/Docs/Downloads/variance-analysis.md,6,###,GhostLink,**GhostLink,GhostLink:,View
/Users/ghostlink/ghostlink-wiki-organized/DESIGN_CLARITY_OS_README.md,5,Design,Clarity,the,all,GhostLink
/Users/ghostlink/ghostlink-wiki-organized/evolutionary_intelligence.py,5,GhostLink,Evolutionary,system,"Intelligence"")",Intelligence
/Users/ghostlink/ghostlink-wiki-organized/documentation/CONSOLIDATED_README.md,5,Python,GhostLink,-,from,#
/Users/ghostlink/ghostlink-wiki-organized/documentation/QUICKSTART.md,5,GhostLink,Python,my,codebase.,#
/Users/ghostlink/ghostlink-wiki-organized/documentation/LINK_CHAT_AGENT.md,5,GhostLink,is,@link,remember,that
/Users/ghostlink/ghostlink-wiki-organized/core-runtime/main.py,5,-,AI,Ecosystem,Absorptive,Consciousness
/Users/ghostlink/ghostlink-wiki-organized/api/main.py,5,GhostLink,Backend,API,for,services
/Users/ghostlink/Organized/Projects/test_protocol.py/test_protocol.py,5,Protocol,v8.0,-,Comprehensive,Test
/Users/ghostlink/Organized/Docs/GHOSTLINK_COMPLETE.md/GHOSTLINK_COMPLETE.md,5,GhostLink,Protocol,v8.0,Complete,Robert
/Users/ghostlink/ghostlink-wiki-organized/MIRROR_COMPREHENSION_README.md,4,and,GhostLink,system,Mirror,Comprehension
/Users/ghostlink/ghostlink-wiki-organized/documentation/API_KEY_README.md,4,API,GhostLink,This,the,key
